test_name,is_coincidentally_correct
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_pipeline_parallel,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_properties,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_shutdown_cleanup,False
tests/distributed/test_multiproc_executor.py::test_multiproc_executor_worker_monitor,False
tests/distributed/test_nccl_symm_mem_allreduce.py::test_nccl_symm_mem_allreduce,False
tests/distributed/test_packed_tensor.py::test_consumer_wrong_uuid_raises,False
tests/distributed/test_packed_tensor.py::test_pack_basic,False
tests/distributed/test_packed_tensor.py::test_pack_empty_iterator,False
tests/distributed/test_packed_tensor.py::test_pack_multiple_chunks,False
tests/distributed/test_packed_tensor.py::test_pack_respects_buffer_limit,False
tests/distributed/test_packed_tensor.py::test_pack_single_tensor_larger_than_buffer_warns,False
tests/distributed/test_packed_tensor.py::test_pack_unpack_roundtrip,False
tests/distributed/test_packed_tensor.py::test_packed_can_be_set_true,False
tests/distributed/test_packed_tensor.py::test_packed_default_false,False
tests/distributed/test_packed_tensor.py::test_producer_dtype_names_are_strings,False
tests/distributed/test_packed_tensor.py::test_producer_empty_iterator,False
tests/distributed/test_packed_tensor.py::test_producer_ipc_handle_has_uuid,False
tests/distributed/test_packed_tensor.py::test_producer_yields_chunks,False
tests/distributed/test_packed_tensor.py::test_roundtrip_basic,False
tests/distributed/test_packed_tensor.py::test_roundtrip_different_batch_sizes,False
tests/distributed/test_packed_tensor.py::test_roundtrip_different_dtypes,False
tests/distributed/test_packed_tensor.py::test_roundtrip_dtypes,False
tests/distributed/test_packed_tensor.py::test_roundtrip_mixed_dtypes,False
tests/distributed/test_packed_tensor.py::test_roundtrip_multiple_chunks,False
tests/distributed/test_packed_tensor.py::test_roundtrip_non_contiguous,False
tests/distributed/test_packed_tensor.py::test_roundtrip_non_contiguous_tensors,False
tests/distributed/test_packed_tensor.py::test_unpack_produces_independent_copies,False
tests/distributed/test_pipeline_parallel.py::test_tp_language_embedding,False
tests/distributed/test_pipeline_parallel.py::test_tp_language_generation,True
tests/distributed/test_pipeline_parallel.py::test_tp_multimodal_generation,True
tests/distributed/test_pipeline_partition.py::test_custom_layer_partition,False
tests/distributed/test_pipeline_partition.py::test_uneven_auto_partition,False
tests/distributed/test_pp_cudagraph.py::test_pp_cudagraph,False
tests/distributed/test_pynccl.py::test_ncclGetUniqueId,False
tests/distributed/test_pynccl.py::test_pynccl,False
tests/distributed/test_pynccl.py::test_pynccl_all_gather,False
tests/distributed/test_pynccl.py::test_pynccl_all_gatherv,False
tests/distributed/test_pynccl.py::test_pynccl_broadcast,False
tests/distributed/test_pynccl.py::test_pynccl_multiple_allreduce,False
tests/distributed/test_pynccl.py::test_pynccl_multiple_allreduce_with_vllm,False
tests/distributed/test_pynccl.py::test_pynccl_multiple_send_recv,False
tests/distributed/test_pynccl.py::test_pynccl_reduce_scatter,False
tests/distributed/test_pynccl.py::test_pynccl_reduce_scatterv,False
tests/distributed/test_pynccl.py::test_pynccl_send_recv,False
tests/distributed/test_pynccl.py::test_pynccl_with_cudagraph,False
tests/distributed/test_quick_all_reduce.py::test_custom_quick_allreduce,False
tests/distributed/test_quick_all_reduce.py::test_custom_quick_allreduce_bf16_cast,False
tests/distributed/test_quick_all_reduce.py::test_custom_quick_allreduce_variable_input,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_min_size_env_allows_equal_to_max,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_min_size_env_converts_mb_to_bytes,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_min_size_env_rejects_larger_than_max,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_min_size_env_rejects_negative,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_min_size_env_unset,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_passes_dynamic_quant_level,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_quantization_min_size_does_not_change_eligibility,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_quantization_min_size_env_converts_kb_to_bytes,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_quantization_min_size_env_rejects_negative,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_quantization_min_size_env_unset,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_quantization_min_size_unset_uses_configured_codec,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_quantization_min_size_uses_configured_codec_at_threshold,False
tests/distributed/test_quick_all_reduce.py::test_quick_allreduce_quantization_min_size_uses_fp_below_threshold,False
tests/distributed/test_quick_all_reduce.py::test_should_quick_allreduce_uses_builtin_min_size_when_unset,False
tests/distributed/test_quick_all_reduce.py::test_should_quick_allreduce_uses_min_size_override,False
tests/distributed/test_ray_v2_executor.py::test_callback,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_bundle_indices_env,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_executor,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_executor_collective_rpc,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_executor_driver_node_rank_0,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_executor_failure_callback,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_executor_pg,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_executor_shutdown,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_executor_worker_death,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_invalid_bundle_indices,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_run_refs_stored_for_monitoring,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_single_node_generation,False
tests/distributed/test_ray_v2_executor.py::test_ray_v2_single_node_generation_with_pg,False
tests/distributed/test_ray_v2_executor_e2e.py::test_env_var_and_runtime_env_propagation,False
tests/distributed/test_ray_v2_executor_e2e.py::test_multi_replicas,False
tests/distributed/test_ray_v2_executor_e2e.py::test_multi_replicas_with_bundle_indices,False
tests/distributed/test_rocm_quick_reduce.py::test_qr_max_size,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_accepts_input_at_threshold,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_bf16_cast_mode,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_bf16_uses_fp16_threshold_when_cast_enabled,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_llm_e2e,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_llm_e2e_ray,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_min_size_table,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rejects_disabled,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rejects_input_larger_than_max_size,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rejects_input_smaller_than_threshold,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rejects_non_aligned_input,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rejects_non_contiguous_input,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rejects_unsupported_dtype,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rocm_arch_available,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_rocm_arch_available_handles_probe_failure,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_supported_dtypes,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_supported_world_sizes,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_allreduce_two_gpu_correctness,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_cast_bf16_to_fp16_default,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_cast_bf16_to_fp16_env_var,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_max_size_default,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_max_size_env_var,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_quantization_default,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_quantization_env_var,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_regime_names,False
tests/distributed/test_rocm_quick_reduce.py::test_quick_reduce_regime_values,False
tests/distributed/test_shm_broadcast.py::test_message_queue_busy_to_idle,False
tests/distributed/test_shm_broadcast.py::test_message_queue_idle_wake,False
tests/distributed/test_shm_broadcast.py::test_message_queue_shutdown_busy,False
tests/distributed/test_shm_broadcast.py::test_message_queue_shutdown_idle,False
tests/distributed/test_shm_broadcast.py::test_shm_broadcast,False
tests/distributed/test_shm_broadcast.py::test_warning_logs,False
tests/distributed/test_shm_buffer.py::test_allocation_and_free,False
tests/distributed/test_shm_buffer.py::test_allocation_cycles,False
tests/distributed/test_shm_buffer.py::test_buffer_access,False
tests/distributed/test_shm_buffer.py::test_buffer_opening,False
tests/distributed/test_shm_buffer.py::test_clear_buffer,False
tests/distributed/test_shm_buffer.py::test_memory_error_on_full_buffer,False
tests/distributed/test_shm_storage.py::test_blocking_unread_object,False
tests/distributed/test_shm_storage.py::test_buffer_overflow_and_cleanup,False
tests/distributed/test_shm_storage.py::test_clear_storage,False
tests/distributed/test_shm_storage.py::test_invalid_get_operations,False
tests/distributed/test_shm_storage.py::test_large_object_rejection,False
tests/distributed/test_shm_storage.py::test_minimal_put_get_cycle,False
tests/distributed/test_shm_storage.py::test_put_same_key_twice,False
tests/distributed/test_split_group.py::test_split_group_basic,False
tests/distributed/test_split_group.py::test_split_group_contract_same_split_ranks_on_all_ranks,False
tests/distributed/test_split_group.py::test_split_group_multiple_subgroups,False
tests/distributed/test_symm_mem_allreduce.py::test_dp_with_symm_mem_allreduce,False
tests/distributed/test_symm_mem_allreduce.py::test_symm_mem_allreduce,False
tests/distributed/test_torchrun_example.py::test_consistent_across_ranks,False
tests/distributed/test_torchrun_example_moe.py::test_consistent_across_ranks,False
tests/distributed/test_utils.py::test_cuda_device_count_stateless,False
tests/distributed/test_utils.py::test_stateless_process_group,False
tests/distributed/test_weight_transfer.py::test_both_handles_and_pickled_raises,False
tests/distributed/test_weight_transfer.py::test_create_engine_invalid_backend,False
tests/distributed/test_weight_transfer.py::test_create_engine_ipc,False
tests/distributed/test_weight_transfer.py::test_create_engine_nccl,False
tests/distributed/test_weight_transfer.py::test_dense_update_rejects_sparse_metadata,False
tests/distributed/test_weight_transfer.py::test_empty_lists_valid,False
tests/distributed/test_weight_transfer.py::test_ipc_receive_weights_missing_gpu_uuid_raises,False
tests/distributed/test_weight_transfer.py::test_ipc_weight_transfer_between_processes,False
tests/distributed/test_weight_transfer.py::test_mismatched_dtype_names_raises,False
tests/distributed/test_weight_transfer.py::test_mismatched_ipc_handles_raises,False
tests/distributed/test_weight_transfer.py::test_mismatched_shapes_raises,False
tests/distributed/test_weight_transfer.py::test_nccl_receive_sparse_weights_without_init_raises,False
tests/distributed/test_weight_transfer.py::test_nccl_receive_weights_without_init_raises,False
tests/distributed/test_weight_transfer.py::test_nccl_sparse_weight_transfer_between_processes,False
tests/distributed/test_weight_transfer.py::test_nccl_weight_transfer_between_processes,False
tests/distributed/test_weight_transfer.py::test_neither_handles_nor_pickled_raises,False
tests/distributed/test_weight_transfer.py::test_parse_init_info_missing_field_raises,False
tests/distributed/test_weight_transfer.py::test_parse_init_info_valid,False
tests/distributed/test_weight_transfer.py::test_parse_update_info_both_handles_and_pickled_raises,False
tests/distributed/test_weight_transfer.py::test_parse_update_info_ignores_none_pickled_handles,False
tests/distributed/test_weight_transfer.py::test_parse_update_info_pickled,False
tests/distributed/test_weight_transfer.py::test_parse_update_info_valid,False
tests/distributed/test_weight_transfer.py::test_pickled_requires_insecure_serialization_flag,False
tests/distributed/test_weight_transfer.py::test_register_duplicate_raises,False
tests/distributed/test_weight_transfer.py::test_sparse_methods_not_supported,False
tests/distributed/test_weight_transfer.py::test_sparse_update_kind_rejected,False
tests/distributed/test_weight_transfer.py::test_sparse_update_rejects_empty_num_updates_list,False
tests/distributed/test_weight_transfer.py::test_sparse_update_rejects_mismatched_num_updates,False
tests/distributed/test_weight_transfer.py::test_sparse_update_rejects_packed,False
tests/distributed/test_weight_transfer.py::test_sparse_update_requires_num_updates_list,False
tests/distributed/test_weight_transfer.py::test_valid_sparse_update_info,False
tests/distributed/test_weight_transfer.py::test_valid_update_info,False
tests/distributed/test_weight_transfer.py::test_valid_update_info_from_pickled,False
tests/entrypoints/llm/test_accuracy.py::test_lm_eval_accuracy_v1_engine,False
tests/entrypoints/llm/test_accuracy.py::test_lm_eval_accuracy_v1_engine_fp8_kv_cache,False
tests/entrypoints/llm/test_chat.py::test_chat,False
tests/entrypoints/llm/test_struct_output_generate.py::test_structured_output[grammar_ebnf_sql],False
tests/entrypoints/llm/test_struct_output_generate.py::test_structured_output[grammar_lark_sql],False
tests/entrypoints/llm/test_struct_output_generate.py::test_structured_output[json_schema],False
tests/entrypoints/llm/test_struct_output_generate.py::test_structured_output[regex_ip_address],False
tests/entrypoints/llm/test_struct_output_generate.py::test_structured_output_batched_with_non_structured_outputs_requests[fact_check],True
tests/entrypoints/llm/test_struct_output_generate.py::test_structured_output_with_structural_tag,False
tests/entrypoints/multimodal/llm/test_mm_embeds_only.py::test_generate_with_embedding,False
tests/entrypoints/multimodal/llm/test_mm_embeds_only.py::test_text_only_prompt,False
tests/entrypoints/multimodal/openai/chat_completion/test_audio.py::test_chat_streaming_audio,False
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_image_embeds.py::test_chat_completions_with_image_embeds,False
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_mixed_audio_embeds.py::test_prompt_embeds_plus_audio_embeds,False
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_mixed_audio_embeds.py::test_text_content_and_prompt_embeds_match_with_audio_embeds[audio_embeds-then-text],True
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_mixed_audio_embeds.py::test_text_content_and_prompt_embeds_match_with_audio_embeds[text-then-audio_embeds],True
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_mixed_image_embeds.py::test_text_content_and_prompt_embeds_match_with_image_embeds[image_embeds-then-text],True
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_mixed_image_embeds.py::test_text_content_and_prompt_embeds_match_with_image_embeds[text-then-image_embeds],True
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_mixed_image_embeds.py::test_text_content_and_prompt_embeds_match_with_image_url[image_url-then-text],True
tests/entrypoints/multimodal/openai/chat_completion/test_chat_completion_with_mixed_image_embeds.py::test_text_content_and_prompt_embeds_match_with_image_url[text-then-image_url],True
tests/entrypoints/multimodal/openai/chat_completion/test_video.py::test_chat_streaming_video,False
tests/entrypoints/multimodal/openai/chat_completion/test_vision.py::test_chat_streaming_image,False
tests/entrypoints/multimodal/openai/chat_completion/test_vision.py::test_single_chat_session_image,False
tests/entrypoints/multimodal/openai/chat_completion/test_vision.py::test_single_chat_session_image_base64encoded_beamsearch,False
tests/entrypoints/multimodal/openai/chat_completion/test_vision_embeds.py::test_multi_content[Qwen3-VL],False
tests/entrypoints/multimodal/openai/chat_completion/test_vision_embeds.py::test_single_content[Prithvi],False
tests/entrypoints/openai/chat_completion/test_chat.py::test_chat_completion_streaming,False
tests/entrypoints/openai/chat_completion/test_chat_completion_with_prompt_embeds.py::test_invalid_base64,False
tests/entrypoints/openai/chat_completion/test_chat_completion_with_prompt_embeds.py::test_missing_data_field,False
tests/entrypoints/openai/chat_completion/test_chat_completion_with_prompt_embeds.py::test_multi_message_conversation,False
tests/entrypoints/openai/chat_completion/test_chat_completion_with_prompt_embeds.py::test_multiple_prompt_embeds_parts,False
tests/entrypoints/openai/chat_completion/test_chat_completion_with_prompt_embeds.py::test_single_prompt_embeds_part,False
tests/entrypoints/openai/chat_completion/test_chat_completion_with_prompt_embeds.py::test_streaming[chat_completion_with_prompt_embeds],False
tests/entrypoints/openai/chat_completion/test_chat_completion_with_prompt_embeds.py::test_text_content_and_prompt_embeds_match,True
tests/entrypoints/openai/completion/test_completion.py::test_batch_completions,True
tests/entrypoints/openai/completion/test_completion.py::test_batch_completions[beam_search_cross_position],True
tests/entrypoints/openai/completion/test_completion.py::test_batch_completions[streaming_batch],True
tests/entrypoints/openai/completion/test_completion.py::test_completion_streaming,False
tests/entrypoints/openai/completion/test_completion.py::test_single_completion,False
tests/entrypoints/openai/completion/test_completion_with_prompt_embeds.py::test_completions_errors_with_prompt_embeds,False
tests/entrypoints/openai/completion/test_completion_with_prompt_embeds.py::test_completions_with_prompt_embeds[streaming_consistency-facebook/opt-125m],False
tests/entrypoints/openai/completion/test_completion_with_prompt_embeds.py::test_completions_with_prompt_embeds[streaming_consistency-opt125m-lora],False
tests/entrypoints/openai/completion/test_completion_with_prompt_embeds.py::test_completions_with_prompt_embeds[use-lora-facebook/opt-125m],True
tests/entrypoints/openai/completion/test_completion_with_prompt_embeds.py::test_completions_with_prompt_embeds[use-lora-opt125m-lora],True
tests/entrypoints/openai/completion/test_token_in_token_out.py::test_token_in_token_out_and_logprobs,False
tests/entrypoints/openai/responses/test_harmony_utils.py::test_harmony_utils,False
tests/entrypoints/openai/responses/test_parsable_context_unit.py::test_parsable_context_unit,False
tests/entrypoints/openai/responses/test_response_input_to_harmony.py::test_response_input_to_harmony,False
tests/entrypoints/openai/responses/test_serving_responses.py::test_serving_responses,False
tests/entrypoints/openai/responses/test_simple.py::test_streaming_output_consistency,False
tests/entrypoints/openai/test_multi_api_servers.py::test_multi_api_servers[streaming_consistency],False
tests/lora/test_add_lora.py::test_add_lora,False
tests/lora/test_chatglm3_tp.py::test_chatglm3_lora,False
tests/lora/test_chatglm3_tp.py::test_chatglm3_lora_tp4,False
tests/lora/test_chatglm3_tp.py::test_chatglm3_lora_tp4_fully_sharded_loras,False
tests/lora/test_deepseekv2_tp.py::test_deepseekv2,False
tests/lora/test_deepseekv2_tp.py::test_deepseekv2_lora,False
tests/lora/test_deepseekv2_tp.py::test_deepseekv2_tp2,False
tests/lora/test_deepseekv2_tp.py::test_deepseekv2_tp4,False
tests/lora/test_default_mm_loras.py::test_active_default_mm_lora,False
tests/lora/test_default_mm_loras.py::test_default_mm_lora_does_not_expand_string_reqs,False
tests/lora/test_default_mm_loras.py::test_default_mm_lora_fails_with_overridden_lora_request,False
tests/lora/test_default_mm_loras.py::test_default_mm_lora_succeeds_with_redundant_lora_request,False
tests/lora/test_default_mm_loras.py::test_inactive_default_mm_lora,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel_fully_sharded,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel_naive_block_assignment,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel_npid_path,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel_one_shot_early_exit,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel_rejects_bad_block_size_m,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel_small_rank,False
tests/lora/test_fused_moe_lora_kernel.py::test_fused_moe_lora_kernel_zero_grid_no_crash,False
tests/lora/test_gptoss_tp.py::test_gpt_oss_lora,False
tests/lora/test_gptoss_tp.py::test_gpt_oss_lora_tp2,False
tests/lora/test_layers.py::test_column_parallel_packed,False
tests/lora/test_layers.py::test_deepseek_fused_qkv_a_proj_lora_preserves_base_forward,False
tests/lora/test_layers.py::test_embeddings,False
tests/lora/test_layers.py::test_get_and_maybe_dequant_weights_accepts_lora_wrappers,False
tests/lora/test_layers.py::test_get_masked_input_and_mask,False
tests/lora/test_layers.py::test_linear_parallel,False
tests/lora/test_layers.py::test_linear_replicated,False
